resume_id,source_file,career_label,quality_label,reviewer,status,notes
1,slim_resumes_with_strong.csv,,,,"pending",""
2,slim_resumes_with_strong.csv,,,,"pending",""
3,slim_resumes_with_strong.csv,,,,"pending",""
4,slim_resumes_with_strong.csv,,,,"pending",""
5,slim_resumes_with_strong.csv,,,,"pending",""
6,slim_resumes_with_strong.csv,,,,"pending",""
7,slim_resumes_with_strong.csv,,,,"pending",""
8,slim_resumes_with_strong.csv,,,,"pending",""
9,slim_resumes_with_strong.csv,,,,"pending",""
10,slim_resumes_with_strong.csv,,,,"pending",""
11,slim_resumes_with_strong.csv,,,,"pending",""
12,slim_resumes_with_strong.csv,,,,"pending",""
13,slim_resumes_with_strong.csv,,,,"pending",""
14,slim_resumes_with_strong.csv,,,,"pending",""
15,slim_resumes_with_strong.csv,,,,"pending",""
16,slim_resumes_with_strong.csv,,,,"pending",""
17,slim_resumes_with_strong.csv,,,,"pending",""
18,slim_resumes_with_strong.csv,,,,"pending",""
19,slim_resumes_with_strong.csv,,,,"pending",""
20,slim_resumes_with_strong.csv,,,,"pending",""
